"","lambda0","lambda1","lambda2","lambda3","lambda4","lambda5","lambda6","lambda7","lambda8","lambda9","lambda10","lambda11","mu0","mu1","mu2","mu3","mu4","mu5","mu6","mu7","mu8","mu9","mu10","mu11"
"11",0.24963363090405,0.228736406021437,0.198991952538555,0.199129648872985,0.207174394086114,0.359580318298612,0.0353344332816694,0.171931025622769,0.224226826903007,0.211513800200046,0.213143958439373,0.221871525461477,0.0778667791132929,0.0627565320527609,0.0338798350847187,0.15622556755029,0.0098279012390069,0.0745673331864371,0.23309025861787,0.146814859265086,0.120762929887195,0.135566006965079,0.132757837740118,0.110016668092344
"12",0.249507526811707,0.213633798564978,0.175990732988096,0.168788383583234,0.188076420449052,0.424897403773573,0.0378233247211967,0.226411680425441,0.217661264186216,0.191413132161107,0.248963922943008,0.0737025884261992,0.072370600931163,0.0420865204961683,0.00722573161984225,0.124667313573936,0.00528156961200124,0.13993817733786,0.348516609013143,0.137643885848531,0.0866158079579091,0.148946363831457,0.123141619144098,0.153367497890367
"13",0.249208738013176,0.213311052490349,0.186987089612257,0.186964352791383,0.19341735013186,0.367898522796765,0.0101876719397113,0.166210915058546,0.230421949602943,0.209998693555506,0.205617397146129,0.218255129826857,0.0710094923823268,0.0433084170587529,0.0259553985221941,0.141117810001767,0.0018237649866081,0.0678935977407561,0.247888219084246,0.144942517017565,0.114110724939335,0.140312528220913,0.137445666141066,0.113373272572089
"14",0.249450554882555,0.214996516276724,0.17343111524148,0.148900134140424,0.165109270277813,0.379989630392115,0.0353028871506964,0.16599144725926,0.222791017498157,0.20755763582041,0.222079011087791,0.193121235131512,0.0726743783635998,0.0436204698317716,0,0.0906726975048581,0,0.0945938157560469,0.227004668318036,0.13907025064478,0.116322280557616,0.134661533148649,0.137307983401914,0.125330540587521
"15",0.249471286850235,0.238507052487516,0.223995666314304,0.235787729205383,0.226501140605498,0.431024744250157,0.0517697809847765,0.315381850710137,0.245373409408957,0.281160365162921,0.197321873818807,0.434274354164571,0.0805581627578089,0.0770463053707857,0.0663216905949801,0.19172286557287,0.0251504996306565,0.116772818343485,0.449011919716349,0.151615175183027,0.125564716270814,0.249792195224479,8.29130959091453e-10,1.42276230152664
"16",0.249687738487376,0.240147423531806,0.224002383188188,0.234482705116924,0.222388810344194,0.411839955808357,0.0226187960527546,0.138335114591322,0.133879526296141,0.198269970239569,0.20359996811365,1.21306130858569e-10,0.0817359621023172,0.0787074417282265,0.0656467826742371,0.190865380397502,0.017183072702732,0.101466632471311,0.305642601982533,0.0391340695249644,0.018053389450356,0.201654201567887,1.75260754440646e-10,0.369574268204043
"17",0.249542033312153,0.218322679206144,0.184803207208112,0.188894128872006,0.21375961485776,0.447187719294313,0.0500642101983001,0.260568412931459,0.202090950296825,0.214520325195656,0.19996936412178,8.22218790511722e-12,0.0740253142033468,0.0486946309324011,0.0190786814070374,0.150862112662596,0.0296674737794862,0.125367718035179,0.445104443502876,0.0789780429562374,0.0800828717677313,0.192488994499213,4.03556925282527e-09,0.368348331918273
"18",0.24938642369829,0.241875128678081,0.230054209526325,0.242517402172925,0.22503070023333,0.41398461294217,0.0585948780865503,0.409359376052442,0.235249185669139,0.203188330389185,0.170169758017928,0.434743325488886,0.0815541214516109,0.0816527469486133,0.0732297171367993,0.197835220641959,0.0177613490217175,0.0986210816892914,0.490841526537774,0.225567209677862,0.0872627871608549,0.16517642837497,3.77997215476808e-09,1.41715633878855
"19",0.249658494579758,0.239448341059082,0.220259887246592,0.226135858420611,0.213584217258644,0.400673801311671,0.0524987222798006,0.31814127437929,0.211858800179356,0.193783105350309,0.166278859845398,0.437763403502053,0.0815157831819195,0.077526327415537,0.0599775661197118,0.181111974237674,0.00916342099196702,0.0838427655944571,0.472778819621489,0.133798243574854,0.0745676341554509,0.158066500530136,5.17287704471411e-10,1.42063373258938
"20",0.249627756557808,0.243338465116761,0.227760772394022,0.224198806138877,0.205191053633182,0.342389765906298,0.0384297182237819,0.353022720385608,0.247587231381469,0.251155329550633,0.191503394398651,0.424592048500008,0.0827070638751316,0.0829499372734035,0.0678919332455815,0.173089089983499,7.99307233963198e-10,1.52830297430676e-16,0.483853083786278,0.179984031672887,0.112705069365952,0.222046246969276,1.31869347102527e-11,1.41012610281912
