Age	CO2	proxy
64.1	330	stomatas
64.6	326	paleosoils
64.7	456	paleosoils
64.8	400	paleosoils
64.9	286	paleosoils
65	584	paleosoils
65.1	451	paleosoils
65.2	178	paleosoils
65.2	569	paleosoils
65.2	163	paleosoils
65.3	340	paleosoils
65.4	88	paleosoils
65.4	343	stomatas
65.4	470	stomatas
65.4	470	paleosoils
65.6	111	paleosoils
65.8	178	paleosoils
65.9	300	paleosoils
65.9	54	paleosoils
66.1	183	paleosoils
66.2	277	paleosoils
66.4	90	paleosoils
66.5	539	stomatas
66.5	0	paleosoils
66.5	42	paleosoils
66.5	837	paleosoils
66.6	15	paleosoils
66.6	263	paleosoils
66.7	453	paleosoils
66.9	426	paleosoils
66.9	265	paleosoils
67.0	219	paleosoils
67.0	128	paleosoils
67.2	560	paleosoils
67.2	300	paleosoils
68.3	277	paleosoils
68.5	10	paleosoils
68.7	171	paleosoils
68.8	110	paleosoils
69.0	158	paleosoils
69.1	60	paleosoils
69.1	328	paleosoils
69.1	172	paleosoils
69.1	252	paleosoils
69.1	138	paleosoils
69.3	202	paleosoils
69.4	145	paleosoils
69.5	345	paleosoils
69.7	204	paleosoils
69.9	309	paleosoils
70	670	liverworts
70	375	paleosoils
70.1	329	paleosoils
70.2	122	paleosoils
70.3	38	paleosoils
70.5	126	paleosoils
71.4	254	paleosoils
71.5	289	paleosoils
71.6	294	paleosoils
72.5	559	stomatas
73.1	568	stomatas
73.7	572	stomatas
74.7	589	stomatas
75.4	593	stomatas
75.9	695	stomatas
77.1	480	paleosoils
77.9	1180	paleosoils
77.9	504	paleosoils
78.1	568	stomatas
79.9	582	stomatas
81.5	585	stomatas
83	1522	paleosoils
83.3	740	paleosoils
85.0	660	stomatas
85.0	531	stomatas
85.0	565	stomatas
92.2	772	paleosoils
93.9	436	stomatas
93.9	431	stomatas
94.0	370	stomatas
94.0	466	stomatas
94.0	425	stomatas
94.0	485	stomatas
94.1	508	stomatas
94.1	446	stomatas
94.1	396	stomatas
94.1	448	stomatas
94.1	360	stomatas
94.1	457	stomatas
94.2	444	stomatas
94.3	410	stomatas
94.3	384	stomatas
94.4	381	stomatas
94.5	366	stomatas
95.3	1307	paleosoils
98	1520	paleosoils
100.5	1368	paleosoils
100.8	797	liverworts
101.8	974	stomatas
101.8	852	stomatas
101.8	917	stomatas
101.8	954	stomatas
102	1428	paleosoils
103.5	1060	paleosoils
104.1	830	liverworts
104.1	977	liverworts
104.1	1001	liverworts
104.1	710	stomatas
106.8	600	paleosoils
110.4	710	stomatas
111.9	654	liverworts
113.4	591	paleosoils
113.5	449	paleosoils
116.5	700	stomatas
118	893	stomatas
119.7	904	paleosoils
