"","ef","coarse","neglogl","deltaneglogl","AIC","deltaAIC"
"51",0,7,272.416058844872,35.5530445884555,560.832117689745,4.51399010598323
"52",0.1,7,272.378410543783,35.5153962873662,560.756821087566,4.43869350380476
"53",0.2,7,272.341761376007,35.4787471195901,560.683522752014,4.36539516825246
"54",0.3,7,272.307407815598,35.4443935591817,560.614815631197,4.29668804743562
"55",0.4,7,272.276973117469,35.413958861052,560.553946234938,4.23581865117637
"56",0.5,7,272.252369117963,35.3893548615462,560.504738235926,4.18661065216463
"57",0.6,7,272.235566158352,35.3725519019353,560.471132316704,4.1530047329428
"58",0.7,7,272.227800249487,35.3647859930705,560.455600498975,4.13747291521338
"59",0.8,7,272.226845673388,35.3638314169714,560.453691346776,4.13556376301506
"60",0.9,7,272.214230003648,35.3512157472314,560.428460007297,4.11033242353517
"61",0,8,272.127181462585,35.264167206168,562.25436292517,5.93623534140829
"62",0.1,8,272.133669972022,35.2706557156048,562.267339944043,5.94921236028199
"63",0.2,8,272.145586688276,35.2825724318587,562.291173376551,5.97304579278966
"64",0.3,8,272.164238131184,35.3012238747671,562.328476262368,6.01034867860653
"65",0.4,8,272.191144409586,35.3281301531693,562.382288819172,6.06416123541089
"66",0.5,8,272.227998027521,35.3649837711038,562.455996055041,6.13786847127983
"67",0.6,8,272.276479245441,35.4134649890246,562.552958490883,6.23483090712148
"68",0.7,8,272.337576794384,35.4745625379668,562.675153588767,6.35702600500588
"69",0.8,8,272.408714010491,35.545699754074,562.817428020982,6.4993004372202
"70",0.9,8,272.465955806307,35.6029415498897,562.931911612613,6.61378402885168
"71",0,9,271.657228991351,34.7942147349343,563.314457982702,6.99633039894081
"72",0.1,9,271.65493384673,34.7919195903135,563.309867693461,6.99174010969921
"73",0.2,9,271.654411696124,34.7913974397069,563.308823392247,6.99069580848607
"74",0.3,9,271.655860672759,34.792846416342,563.311721345518,6.9935937617563
"75",0.4,9,271.659389408072,34.7963751516554,563.318778816144,7.00065123238301
"76",0.5,9,271.664915746364,34.8019014899476,563.329831492729,7.01170390896755
"77",0.6,9,271.671969007791,34.8089547513746,563.343938015583,7.02581043182147
"78",0.7,9,271.679251418879,34.816237162462,563.358502837758,7.04037525399633
"79",0.8,9,271.683334645339,34.8203203889219,563.366669290677,7.04854170691601
"80",0.9,9,271.671214465901,34.8082002094841,563.342428931802,7.02430134804047
"81",0,10,272.282637114813,35.4196228583958,566.565274229625,10.2471466458638
"82",0.1,10,272.292723385393,35.4297091289763,566.585446770786,10.2673191870249
"83",0.2,10,272.304458821243,35.4414445648259,566.608917642485,10.290790058724
"84",0.3,10,272.317912526315,35.4548982698979,566.635825052629,10.3176974688681
"85",0.4,10,272.333061346098,35.4700470896814,566.666122692196,10.347995108435
"86",0.5,10,272.349696166009,35.4866819095923,566.699392332018,10.3812647482569
"87",0.6,10,272.367205015422,35.5041907590053,566.734410030844,10.4162824470829
"88",0.7,10,272.383967096792,35.5209528403749,566.767934193583,10.4498066098221
"89",0.8,10,272.395180018434,35.5321657620176,566.790360036869,10.4722324531075
"90",0.9,10,272.381620855815,35.5186065993987,566.763241711631,10.4451141278696
"91",0,15,268.89319118599,32.0301769295728,569.786382371979,13.4682547882179
"92",0.1,15,268.875910912264,32.0128966558468,569.751821824527,13.4336942407658
